split,seed,amplitude,stiffness,phase,x0,v0,random_check_seed,policy,drift_coefficient,fixed_k,n_steps,physical_duration,n_reference,n_initial_reference,n_forced_reference,n_random_reference,n_unreferenced,n_start_violations,n_interval_violations,n_envelope_counterexamples,n_eligible,n_eligible_start_violations,n_random_start_violations,n_full_corrections,n_measurement_force_calls,reference_fraction,unreferenced_physical_duration,interval_violation_rate,start_violation_rate,maximum_unreferenced_streak,maximum_unreferenced_streak_time,maximum_unreferenced_force_error,maximum_positive_envelope_excess,initial_error_min,initial_error_mean,initial_error_max,margin_min,margin_mean,margin_max,trust_time_min,trust_time_median,trust_time_max,squared_position_error_sum,squared_velocity_error_sum,position_rmse,velocity_rmse,final_relative_energy_change,maximum_absolute_relative_energy_change
heldout,2026090606,1.25,1.18,0.9656479758444838,0.711105111209617,-1.1167178849457182,2036090606,class_horizon,0.2,,2000,20.0,162,1,130,31,1838,0,0,0,1869,0,0,0,6007,0.081,18.38,0.0,0.0,16,0.16,0.04568965892122662,0.0,0.00016137750452061006,0.005314548925595973,0.025599784003546233,0.02440021599645377,0.04468545107440403,0.04983862249547939,0.08830351718182175,0.1434407772097933,0.1739062847379747,20.06614212216476,20.805403421003426,0.10016521881912094,0.10199363563723823,0.4037650600010567,0.4037650600010567
heldout,2026090606,1.25,1.18,0.9656479758444838,0.711105111209617,-1.1167178849457182,2036090606,empirical_horizon,0.10000000000000009,,2000,20.0,101,1,69,31,1899,293,337,1122,1930,297,4,0,6007,0.0505,18.990000000000002,0.17746182201158506,0.15429173249078462,33,0.33,0.08266114761707405,0.033708936891607096,0.00029160738811961906,0.008928628978877941,0.025599784003546233,0.02440021599645377,0.041071371021122065,0.049708392611880384,0.17660703436364333,0.24604027559714978,0.34760425433177455,58.59886675238609,61.11478828254963,0.17117077255242216,0.17480673368401692,0.7312468244582768,0.7312468244582768
heldout,2026090606,1.25,1.18,0.9656479758444838,0.711105111209617,-1.1167178849457182,2036090606,fixed_streak,0.2,18,2000,20.0,122,1,91,30,1878,121,160,0,1908,125,4,0,6007,0.061,18.78,0.08519701810436635,0.06443024494142705,18,0.18,0.07084649047646674,0.0,2.1700705614691174e-05,0.0071961547026419565,0.025599784003546233,0.02440021599645377,0.04280384529735805,0.04997829929438531,0.08830351718182175,0.1354605667924168,0.17071860821785698,37.23007173368885,38.416387231656444,0.13643692999640686,0.13859362761623717,0.584047211585395,0.584047211585395
heldout,2026090607,1.55,1.18,0.35564408944277504,1.453004743340344,-0.5862653961133509,2036090607,class_horizon,0.2,,2000,20.0,200,1,152,47,1800,0,0,0,1847,0,0,1,6007,0.1,18.0,0.0,0.0,12,0.12,0.04555072292076409,0.0,0.0,0.005213786036008804,0.009110144584152824,0.04088985541584718,0.0447862139639912,0.05,0.10665265566137293,0.11862816315645036,0.13796847050978583,18.834679917063397,21.78045764445791,0.09704297995492357,0.10435625914255912,0.3232118136061786,0.3232131262210969
heldout,2026090607,1.55,1.18,0.35564408944277504,1.453004743340344,-0.5862653961133509,2036090607,empirical_horizon,0.10000000000000009,,2000,20.0,120,1,72,47,1880,283,340,1146,1927,295,12,1,6007,0.06,18.8,0.18085106382978725,0.15053191489361703,26,0.26,0.08360120964640011,0.033762822402868695,0.0,0.009066533864231395,0.01672024192928001,0.03327975807071999,0.040933466135768606,0.05,0.15901622967155724,0.20462812104901867,0.2759369410195715,56.18143242666948,65.71701917672691,0.16760285264080305,0.18126916336863105,0.5899184915459126,0.5899401281673838
heldout,2026090607,1.55,1.18,0.35564408944277504,1.453004743340344,-0.5862653961133509,2036090607,fixed_streak,0.2,18,2000,20.0,126,1,79,46,1874,260,311,0,1920,269,9,1,6007,0.063,18.740000000000002,0.16595517609391675,0.13874066168623267,18,0.18,0.08545541677011988,0.0,0.0,0.008605953833966612,0.01709108335402397,0.03290891664597603,0.04139404616603339,0.05,0.07893370862319966,0.10578127096486917,0.13796847050978583,51.051762477717695,59.939036119941704,0.15976821097721175,0.17311706461227575,0.571329186759765,0.5713424566703218
heldout,2026090608,0.65,1.18,4.756616304383829,0.028738389476840584,0.7053902776937936,2036090608,class_horizon,0.2,,2000,20.0,101,1,57,43,1899,0,0,0,1942,0,0,0,6007,0.0505,18.990000000000002,0.0,0.0,34,0.34,0.04554485537847429,0.0,7.812832216602672e-05,0.004474031237781179,0.00910897107569486,0.04089102892430514,0.04552596876221882,0.049921871677833976,0.2215219198501532,0.26809945749032943,0.3507137710687826,16.53933035138094,17.65060416345802,0.0909376994193853,0.09394307894533269,0.7713722198753276,0.7713722198753276
heldout,2026090608,0.65,1.18,4.756616304383829,0.028738389476840584,0.7053902776937936,2036090608,empirical_horizon,0.10000000000000009,,2000,20.0,70,1,25,44,1930,256,278,1189,1974,263,7,0,6007,0.035,19.3,0.14404145077720207,0.13264248704663212,63,0.63,0.0842258086326933,0.035253436796702786,5.835901407302835e-05,0.006919311416352477,0.01684516172653866,0.03315483827346134,0.043080688583647525,0.049941640985926974,0.311670005436695,0.47064154561099436,0.7014275421375645,48.76683900058155,50.853938206747166,0.15615191161266895,0.15945836166025784,1.4129954219500953,1.4129954219500953
heldout,2026090608,0.65,1.18,4.756616304383829,0.028738389476840584,0.7053902776937936,2036090608,fixed_streak,0.2,18,2000,20.0,129,1,85,43,1871,0,0,0,1914,0,0,0,6007,0.0645,18.71,0.0,0.0,18,0.18,0.03510896285429102,0.0,4.0636458704224054e-05,0.0034376595620671134,0.007021792570858221,0.04297820742914178,0.04656234043793289,0.04995936354129578,0.2431100297025119,0.2827325964361835,0.3507137710687826,8.958493727424381,9.618530916517598,0.06692717582351873,0.06934886775037354,0.5641865499150641,0.5641865499150641
heldout,2026090609,0.9,1.18,5.965930582774276,0.8550858707345576,0.30498724781660264,2036090609,class_horizon,0.2,,2000,20.0,127,1,84,42,1873,0,0,0,1915,0,0,0,6007,0.0635,18.73,0.0,0.0,22,0.22,0.04565236067336991,0.0,0.0001280068219067232,0.005247754193380809,0.03078309134644408,0.019216908653555922,0.04475224580661919,0.04987199317809328,0.09377212168503121,0.19377367154359157,0.23568476809644331,16.19376269799999,21.904292045435337,0.08998267249309722,0.10465250127310703,0.5858272828680333,0.5858272828680333
heldout,2026090609,0.9,1.18,5.965930582774276,0.8550858707345576,0.30498724781660264,2036090609,empirical_horizon,0.10000000000000009,,2000,20.0,86,1,44,41,1914,296,331,1154,1955,304,8,0,6007,0.043,19.14,0.1729362591431557,0.15464994775339602,45,0.45,0.07946641711233017,0.030032438492074612,4.490977865212464e-05,0.008230414476041744,0.03078309134644408,0.019216908653555922,0.04176958552395826,0.04995509022134788,0.18754424337006226,0.3324432626799089,0.46632759148806757,46.53192346766777,63.152508353501666,0.15253183842671628,0.17769708544810417,1.0679605250220279,1.0679605250220279
heldout,2026090609,0.9,1.18,5.965930582774276,0.8550858707345576,0.30498724781660264,2036090609,fixed_streak,0.2,18,2000,20.0,130,1,87,42,1870,0,2,0,1912,0,0,0,6007,0.065,18.7,0.0010695187165775401,0.0,18,0.18,0.05147625065660058,0.0,0.0001487082115732008,0.005116452895278436,0.03078309134644408,0.019216908653555922,0.04488354710472157,0.0498512917884268,0.09377212168503121,0.1976084817179235,0.23623513365461962,15.584767295032544,21.34115640122792,0.08827447902715864,0.10329849079543205,0.5941906444008912,0.5941906444008912
