replicate,step,q_before,trust_before,cooldown_before,risk_probability,acceptance_probability,A,Y,Z,used_surrogate,detected_failure,N,V,D,log_M,capped_bound
3,5,0.39,0.808,0,0.39,0.808,1,0,0,1,0,5,1,0,0.051293294387550536,5.0
0,6,0.41000000000000003,0.8350000000000001,0,0.41000000000000003,0.8350000000000001,0,1,0,0,0,5,2,0,0.10258658877510107,5.0
1,6,0.388,0.81,0,0.388,0.81,1,0,0,1,0,4,2,0,0.10258658877510107,4.0
2,6,0.41400000000000003,0.8600000000000001,0,0.41400000000000003,0.8600000000000001,1,0,0,1,0,5,1,0,0.051293294387550536,5.0
3,6,0.4,0.81,0,0.4,0.81,1,0,0,1,0,6,1,0,0.051293294387550536,6.0
0,7,0.41400000000000003,0.8370000000000001,0,0.41400000000000003,0.8370000000000001,1,0,0,1,0,6,2,0,0.10258658877510107,6.0
1,7,0.398,0.812,0,0.398,0.812,0,0,0,0,0,4,2,0,0.10258658877510107,4.0
2,7,0.42400000000000004,0.8620000000000001,0,0.42400000000000004,0.8620000000000001,1,1,1,1,1,6,2,1,-0.5905605917848442,6.0
3,7,0.41000000000000003,0.812,0,0.41000000000000003,0.812,1,0,0,1,0,7,1,0,0.051293294387550536,7.0
0,8,0.42400000000000004,0.8390000000000001,0,0.42400000000000004,0.8390000000000001,1,0,0,1,0,7,2,0,0.10258658877510107,7.0
1,8,0.402,0.8140000000000001,0,0.402,0.8140000000000001,1,1,0,1,0,5,3,0,0.1538798831626516,5.0
2,8,0.23400000000000004,0.5640000000000001,8,0.23400000000000004,0.21400000000000008,0,0,0,0,0,6,2,1,-0.5905605917848442,6.0
3,8,0.42000000000000004,0.8140000000000001,0,0.42000000000000004,0.8140000000000001,1,1,0,1,0,8,2,0,0.10258658877510107,8.0
0,9,0.43400000000000005,0.8410000000000001,0,0.43400000000000005,0.8410000000000001,1,0,0,1,0,8,2,0,0.10258658877510107,8.0
1,9,0.41200000000000003,0.8160000000000001,0,0.41200000000000003,0.8160000000000001,1,1,0,1,0,6,4,0,0.20517317755020215,6.0
2,9,0.23800000000000004,0.5660000000000001,7,0.23800000000000004,0.21600000000000008,0,1,0,0,0,6,2,1,-0.5905605917848442,6.0
3,9,0.43000000000000005,0.8160000000000001,0,0.43000000000000005,0.8160000000000001,1,0,0,1,0,9,2,0,0.10258658877510107,9.0
0,10,0.44400000000000006,0.8430000000000001,0,0.44400000000000006,0.8430000000000001,1,1,0,1,0,9,3,0,0.1538798831626516,9.0
1,10,0.42200000000000004,0.8180000000000001,0,0.42200000000000004,0.8180000000000001,1,0,1,1,0,7,4,0,0.20517317755020215,7.0
2,10,0.24200000000000005,0.5680000000000001,6,0.24200000000000005,0.21800000000000008,1,1,0,1,0,7,3,1,-0.5392672973972936,7.0
3,10,0.44000000000000006,0.8180000000000001,0,0.44000000000000006,0.8180000000000001,1,1,0,1,0,10,3,0,0.1538798831626516,10.0
0,11,0.45400000000000007,0.8450000000000001,0,0.45400000000000007,0.8450000000000001,0,1,0,0,0,9,3,0,0.1538798831626516,9.0
1,11,0.44200000000000006,0.8450000000000001,0,0.44200000000000006,0.8450000000000001,1,0,0,1,0,8,4,0,0.20517317755020215,8.0
2,11,0.25200000000000006,0.5700000000000001,5,0.25200000000000006,0.22000000000000008,0,1,0,0,0,7,3,1,-0.5392672973972936,7.0
3,11,0.45000000000000007,0.8200000000000001,0,0.45000000000000007,0.8200000000000001,1,0,0,1,0,11,3,0,0.1538798831626516,11.0
0,12,0.4580000000000001,0.8470000000000001,0,0.4580000000000001,0.8470000000000001,1,1,0,1,0,10,4,0,0.20517317755020215,10.0
1,12,0.45200000000000007,0.8470000000000001,0,0.45200000000000007,0.8470000000000001,1,1,0,1,0,9,5,0,0.2564664719377527,9.0
2,12,0.25600000000000006,0.5720000000000001,4,0.25600000000000006,0.2220000000000001,0,0,0,0,0,7,3,1,-0.5392672973972936,7.0
3,12,0.4600000000000001,0.8220000000000001,0,0.4600000000000001,0.8220000000000001,0,1,0,0,0,11,3,0,0.1538798831626516,11.0
0,13,0.4680000000000001,0.8490000000000001,0,0.4680000000000001,0.8490000000000001,1,1,0,1,0,11,5,0,0.2564664719377527,11.0
1,13,0.4620000000000001,0.8490000000000001,0,0.4620000000000001,0.8490000000000001,1,1,0,1,0,10,6,0,0.3077597663253032,10.0
