split,policy,seed,H0,n_intervals,n_reference_updates,W,W_over_H0,delta_H,original_final_relative_energy_change,jump_sum,jump_sum_over_H0,boundary_term,boundary_over_H0,telescope_error,work_energy_error,max_interval_work_energy_error,max_stored_relative_energy_error,positive_net_interval_fraction,net_over_sum_absolute_interval_work,unreferenced_work_over_H0,reference_assisted_work_over_H0,updates_with_positive_post_power,updates_with_negative_post_power,max_nonfull_power_contraction_error
heldout,fixed_streak,2026090609,0.4779,2000,130,0.28396370895922773,0.5941906444009787,0.2839637089591859,0.5941906444008912,0.31448170584518614,0.6580491856982342,-0.030517996885958465,-0.06385854129725563,5.551115123125783e-17,4.18554080283684e-14,4.187188790139018e-16,0.0,0.9665,0.9996806793780338,0.5811327881450755,0.013057856255902518,123,7,9.497611030973019e-17
heldout,class_horizon,2026090610,0.921875,2000,162,0.3765663854334426,0.40847879097864964,0.3765663854333745,0.40847879097857576,0.3645697422600779,0.395465483129576,0.01199664317336473,0.013013307849073605,0.0,6.811218256075335e-14,6.832642091003649e-16,0.0,0.971,0.9998249008434831,0.3958669517343583,0.01261183924429137,156,6,1.5439038936193583e-16
heldout,empirical_horizon,2026090610,0.921875,2000,103,0.6817708099408953,0.7395479972240221,0.6817708099408151,0.7395479972239349,0.6651696458072259,0.72153995477394,0.01660116413366934,0.018008042450081998,1.1102230246251565e-16,8.026912468039882e-14,8.673617379884035e-16,0.0,0.957,0.9995062270023974,0.7262926784787044,0.01325531874531845,98,5,2.203098814490545e-16
heldout,fixed_streak,2026090610,0.921875,2000,126,0.5275410342485726,0.5722479015577736,0.5275410342484927,0.572247901557687,0.5085988600657935,0.551700458376454,0.01894217418277909,0.02054744318131969,0.0,7.982503547054876e-14,7.624109676918067e-16,0.0,0.965,0.999636300132737,0.5595734381654691,0.012674463392303421,121,5,1.8908485888147197e-16
heldout,class_horizon,2026090611,1.4174749999999998,2000,193,0.4608239594093961,0.32510200138231443,0.4608239594092942,0.32510200138224254,0.4986412056778902,0.35178130526315476,-0.03781724626849411,-0.026679303880840305,-5.551115123125783e-17,1.0186296250935811e-13,1.182593519638564e-15,0.0,0.9755,0.9997915076032301,0.3129591937237709,0.012142807658543534,188,5,2.463307335887066e-16
heldout,empirical_horizon,2026090611,1.4174749999999998,2000,119,0.8305781457212787,0.5859561161369893,0.8305781457211301,0.5859561161368844,0.9100203661887074,0.6420009990925466,-0.07944222046742869,-0.05604488295555738,0.0,1.4865886299730846e-13,1.4585229725361248e-15,0.0,0.9585,0.9992856243926083,0.5736386720765099,0.012317444060479521,113,6,2.3592239273284576e-16
heldout,fixed_streak,2026090611,1.4174749999999998,2000,127,0.8010962172875236,0.5651572107356557,0.8010962172873988,0.5651572107355677,0.8796793725306224,0.6205960405161449,-0.07858315524309892,-0.055438829780489196,0.0,1.247890679678676e-13,1.3964523981613297e-15,0.0,0.961,0.9995637603673996,0.5529871539641212,0.012170056771534373,122,5,2.0469737016526324e-16
heldout,class_horizon,2026090612,0.249275,2000,102,0.1982509377035685,0.795310150249999,0.19825093770354738,0.7953101502499142,0.24410373727933365,0.979254788002542,-0.04585279957576514,-0.1839446377525429,-2.7755575615628914e-17,2.1121993043493603e-14,2.0925101928970236e-16,0.0,0.95,0.9930680870551402,0.782072653304081,0.01323749694591742,96,6,3.3393426912553537e-17
heldout,empirical_horizon,2026090612,0.249275,2000,70,0.35230110523890096,1.4133029996546023,0.3523011052388675,1.413302999654468,0.41905776704057035,1.6811062763637363,-0.06675666180166939,-0.26780327670913406,0.0,3.347322419244847e-14,5.073253015602797e-16,0.0,0.928,0.9947423718047356,1.3981076090289155,0.015195390625682858,64,6,5.724587470723463e-17
heldout,fixed_streak,2026090612,0.249275,2000,129,0.14137585525228735,0.5671481506460229,0.14137585525226878,0.5671481506459484,0.17872503821780744,0.7169793931112524,-0.03734918296552009,-0.14983124246522952,0.0,1.8568480086855743e-14,2.3901236892442945e-16,0.0,0.9605,0.9912828718378492,0.5545421196791822,0.012606030966839238,121,8,5.0306980803327406e-17
