anchor_index,elapsed_fs,path_length_A,bound_eV_A
168,0.5,0.02243346428244886,0.0773943872100866
168,1.0,0.04119198392280592,0.12300896743543302
169,0.5,0.014909327361901708,0.0999031361001888
169,1.0,0.028754028731438556,0.13356891855127573
170,0.5,0.013852615364971755,0.11036428100539397
171,0.5,0.016652708928412793,0.11614119349079716
172,0.5,0.020500795979756847,0.10892790775440775
173,0.5,0.0231736758856525,0.09717007596210525
173,1.0,0.04719085180946473,0.15095323686880532
174,0.5,0.023199324865712058,0.08333828404706865
174,1.0,0.04464055480708978,0.13135296835603177
175,0.5,0.02135830734465448,0.15487490632313552
176,0.5,0.019357787650648973,0.153873469667894
177,0.5,0.018159294053760926,0.1395287879764368
178,0.5,0.01846138211470225,0.09532247251878324
178,1.0,0.038621838357818905,0.13481406713911878
179,0.5,0.020206463845712237,0.08748046076003632
179,1.0,0.04282653799269908,0.13179011267080273
180,0.5,0.022657149156217464,0.07919782308073531
180,1.0,0.04755836192191379,0.1186988271004692
181,0.5,0.02618190078489086,0.09153795424405786
181,1.0,0.05227971416427839,0.15080231913749392
182,0.5,0.026097813379387526,0.1706923712446057
183,0.5,0.024076439207446402,0.15249620971586822
184,0.5,0.020674393862919714,0.12337821940675286
185,0.5,0.017247338150607,0.058448588341218785
185,1.0,0.033232852925616965,0.08233427714130126
185,1.5,0.050848508910643506,0.10865573646179988
186,0.5,0.02616394726936299,0.09231983223144115
186,1.0,0.04983953767737488,0.13948553891535184
187,0.5,0.02358034508622829,0.18751138204386822
193,0.5,0.02505434756139188,0.1718489856811059
194,0.5,0.02681036163921068,0.13439829392601937
195,0.5,0.026561857566255304,0.1261161106150131
196,0.5,0.024918936025684346,0.14566334654228624
197,0.5,0.02317208252522404,0.16901105097783423
199,0.5,0.02422677777439099,0.16968815817332317
200,0.5,0.02657445741184506,0.1261366159013158
201,0.5,0.028581072627407642,0.11938742970956898
202,0.5,0.02944149994539916,0.12638636671377024
203,0.5,0.02881565083418232,0.16614660460421152
204,0.5,0.026671661107282273,0.19744736420040515
205,0.5,0.02324495932668862,0.19406890366813273
206,0.5,0.019191146738025237,0.1672754562702976
207,0.5,0.01591021079342357,0.10147348651273513
208,0.5,0.015332053652813678,0.09006162763419157
208,1.0,0.03294321741247951,0.10532670273910168
209,0.5,0.01770497724830305,0.10051924087636231
210,0.5,0.021054845132252795,0.10090030255747472
211,0.5,0.02361032374955415,0.1280451778836085
212,0.5,0.024509651652893524,0.17378409193930955
213,0.5,0.023603000282062643,0.16809052988417333
214,0.5,0.02141507855381706,0.15156694471080634
215,0.5,0.019261256181330927,0.15154309658315973
216,0.5,0.018933304851561493,0.15438429930471045
217,0.5,0.021103485638116554,0.12095660658343432
218,0.5,0.0245456755456955,0.10713401155170953
219,0.5,0.027707892734207686,0.11184752586148786
220,0.5,0.02967031528423334,0.10648704051220612
221,0.5,0.03007043070379962,0.14690328706338387
222,0.5,0.028891573137093795,0.1910108667070281
223,0.5,0.026399723780454302,0.2115524667393019
224,0.5,0.023257310916100858,0.19949330258828996
225,0.5,0.020682933114308983,0.13976628704242683
226,0.5,0.02007703941380855,0.12981832945254504
228,0.5,0.023911274957586496,0.14218715397158774
229,0.5,0.025286878769991483,0.15953709142421685
230,0.5,0.024794674113395157,0.138907351230382
231,0.5,0.02229319724894418,0.14869223962903427
232,0.5,0.018640540241600872,0.16851791475649244
236,0.5,0.026316561123825404,0.10279359205220427
